class_name,run,start,end,duration,size,area,max_front_radius,front_velocity,fractal_dimension_box,radius_of_gyration,anisotropy
weak_chaos,8,995,1035,40,0.009829860180616379,40,0.0,0.0,1.0,11.54339599609375,1.0
weak_chaos,8,1136,1187,51,0.014468424022197723,51,0.0,0.0,1.0,14.71960163116455,1.0
weak_chaos,8,1344,1371,27,0.0010443255305290222,27,0.0,0.0,1.0,7.788880825042725,1.0
weak_chaos,8,1497,1536,39,0.00575658306479454,39,0.0,0.0,1.0,11.254629135131836,1.0
weak_chaos,8,1637,1693,56,0.023438364267349243,56,0.0,0.0,1.0,16.16322898864746,1.0
weak_chaos,8,1788,1835,47,0.017280563712120056,47,0.0,0.0,1.0,13.56466007232666,1.0
weak_chaos,8,1931,1989,58,0.025662202388048172,58,0.0,0.0,1.0,16.74066925048828,1.0
weak_chaos,9,52,119,67,0.06596754491329193,67,0.0,0.0,1.0,19.339078903198242,1.0
weak_chaos,9,207,266,59,0.04823831841349602,59,0.0,0.0,1.0,17.029386520385742,1.0
weak_chaos,9,356,419,63,0.049252256751060486,63,0.0,0.0,1.0,18.184242248535156,1.0
weak_chaos,9,515,565,50,0.015550624579191208,50,0.0,0.0,1.0,14.430870056152344,1.0
weak_chaos,9,676,720,44,0.006524436175823212,44,0.0,0.0,1.0,12.69842529296875,1.0
weak_chaos,9,868,919,51,0.012545797973871231,51,0.0,0.0,1.0,14.71960163116455,1.0
weak_chaos,9,1021,1072,51,0.020972736179828644,51,0.0,0.0,1.0,14.71960163116455,1.0
weak_chaos,9,1165,1231,66,0.06252706050872803,66,0.0,0.0,1.0,19.050373077392578,1.0
weak_chaos,9,1319,1378,59,0.05165569856762886,59,0.0,0.0,1.0,17.029386520385742,1.0
weak_chaos,9,1466,1532,66,0.06289999186992645,66,0.0,0.0,1.0,19.050373077392578,1.0
weak_chaos,9,1622,1679,57,0.033808205276727676,57,0.0,0.0,1.0,16.451950073242188,1.0
weak_chaos,9,1776,1834,58,0.024983152747154236,58,0.0,0.0,1.0,16.74066925048828,1.0
weak_chaos,9,1981,1996,15,0.0001748017966747284,15,0.0,0.0,0.980566680431366,4.320494174957275,1.0
weak_chaos,10,44,105,61,0.03405646234750748,61,0.0,0.0,1.0,17.606815338134766,1.0
weak_chaos,10,200,253,53,0.020385582000017166,53,0.0,0.0,1.0,15.29705810546875,1.0
weak_chaos,10,358,405,47,0.009465720504522324,47,0.0,0.0,1.0,13.56466007232666,1.0
weak_chaos,10,711,732,21,0.00061846524477005,21,0.0,0.0,1.0,6.055300712585449,1.0
weak_chaos,10,844,910,66,0.06158943846821785,66,0.0,0.0,1.0,19.050373077392578,1.0
weak_chaos,10,1001,1059,58,0.04493756964802742,58,0.0,0.0,1.0,16.74066925048828,1.0
weak_chaos,10,1151,1211,60,0.03675035014748573,60,0.0,0.0,1.0,17.318103790283203,1.0
weak_chaos,10,1311,1364,53,0.01750984787940979,53,0.0,0.0,1.0,15.29705810546875,1.0
weak_chaos,10,1474,1530,56,0.01672295480966568,56,0.0,0.0,1.0,16.16322898864746,1.0
weak_chaos,10,1652,1708,56,0.026244234293699265,56,0.0,0.0,1.0,16.16322898864746,1.0
weak_chaos,10,1806,1850,44,0.01822569966316223,44,0.0,0.0,1.0,12.69842529296875,1.0
weak_chaos,10,1940,2007,67,0.06933065503835678,67,0.0,0.0,1.0,19.339078903198242,1.0
weak_chaos,10,2096,2100,4,0.0005840100347995758,4,0.0,0.0,nan,1.1180340051651,1.0
weak_chaos,11,78,92,14,0.00018061324954032898,14,0.0,0.0,0.9597920775413513,4.031128883361816,1.0
weak_chaos,11,391,426,35,0.002836659550666809,35,0.0,0.0,1.0,10.099504470825195,1.0
weak_chaos,11,562,579,17,0.00023775547742843628,17,0.0,0.0,1.0,4.898979663848877,1.0
weak_chaos,11,1033,1043,10,5.795806646347046e-05,10,0.0,0.0,0.8191450834274292,2.872281312942505,1.0
weak_chaos,11,1479,1514,35,0.002884861081838608,35,0.0,0.0,1.0,10.099504470825195,1.0
weak_chaos,11,1651,1673,22,0.0006411112844944,22,0.0,0.0,1.0,6.3442888259887695,1.0
weak_chaos,12,435,462,27,0.0025520622730255127,27,0.0,0.0,1.0,7.788880825042725,1.0
weak_chaos,12,573,625,52,0.022234156727790833,52,0.0,0.0,1.0,15.008331298828125,1.0
weak_chaos,12,746,800,54,0.01588675007224083,54,0.0,0.0,1.0,15.585783958435059,1.0
weak_chaos,12,918,961,43,0.009160291403532028,43,0.0,0.0,1.0,12.409673690795898,1.0
weak_chaos,12,1072,1122,50,0.01914057508111,50,0.0,0.0,1.0,14.430870056152344,1.0
weak_chaos,12,1220,1269,49,0.023894283920526505,49,0.0,0.0,1.0,14.142135620117188,1.0
weak_chaos,12,1369,1427,58,0.04289710521697998,58,0.0,0.0,1.0,16.74066925048828,1.0
weak_chaos,12,1537,1600,63,0.04441192001104355,63,0.0,0.0,1.0,18.184242248535156,1.0
weak_chaos,12,1703,1760,57,0.036431826651096344,57,0.0,0.0,1.0,16.451950073242188,1.0
weak_chaos,12,1860,1919,59,0.047983817756175995,59,0.0,0.0,1.0,17.029386520385742,1.0
weak_chaos,12,2012,2070,58,0.054366614669561386,58,0.0,0.0,1.0,16.74066925048828,1.0
weak_chaos,13,78,103,25,0.0017390996217727661,25,0.0,0.0,1.0,7.211102485656738,1.0
weak_chaos,13,211,255,44,0.007051397114992142,44,0.0,0.0,1.0,12.69842529296875,1.0
weak_chaos,13,377,411,34,0.002762261778116226,34,0.0,0.0,1.0,9.810708045959473,1.0
weak_chaos,13,538,556,18,0.00042173266410827637,18,0.0,0.0,1.0,5.188127517700195,1.0
weak_chaos,13,868,903,35,0.002926371991634369,35,0.0,0.0,1.0,10.099504470825195,1.0
