time,weak_chaos_entropy,strong_chaos_entropy,weak_chaos_normalized_entropy,strong_chaos_normalized_entropy,weak_chaos_occupied_cells,strong_chaos_occupied_cells
11.200000000000001,0.6271047869053563,0.24767036737936945,0.0874984613832587,0.034556865979069366,2,2
11.4,0.2899471973584614,0.009952003136362964,0.04045565299612726,0.001388579676468878,2,2
11.6,0.018097237858072095,-0.0,0.0025250651899538924,-0.0,2,1
11.8,-0.0,-0.0,-0.0,-0.0,1,1
12.0,-0.0,-0.0,-0.0,-0.0,1,1
12.200000000000001,-0.0,-0.0,-0.0,-0.0,1,1
12.4,-0.0,-0.0,-0.0,-0.0,1,1
12.6,-0.0,-0.0,-0.0,-0.0,1,1
12.8,-0.0,-0.0,-0.0,-0.0,1,1
13.0,-0.0,0.05189213369958612,-0.0,0.007240387813039276,1,2
13.200000000000001,-0.0,0.11595140077975584,-0.0,0.016178427234671076,1,2
13.4,-0.0,0.08048483706800685,-0.0,0.011229860710975089,1,2
13.6,-0.0,0.018097237858072095,-0.0,0.0025250651899538924,1,2
13.8,0.10126481756679193,0.018097237858072095,0.014129242694949999,0.0025250651899538924,2,2
14.0,0.6862649224418234,0.009952003136362964,0.09575293646103729,0.001388579676468878,2,2
14.200000000000001,0.18526762164370725,-0.0,0.02584995709880722,-0.0,2,1
14.4,-0.0,-0.0,-0.0,-0.0,1,1
14.6,-0.0,0.18526762164370725,-0.0,0.02584995709880722,1,2
14.8,-0.0,0.550599168861555,-0.0,0.07682381177797962,1,2
15.0,-0.0,0.9692106490060617,-0.0,0.13523169064422852,1,4
15.200000000000001,-0.0,0.9666063699305039,-0.0,0.13486832168758506,1,4
15.4,-0.0,0.3561446379983001,-0.0,0.0496920267640246,1,5
15.6,-0.0,0.6768734139326329,-0.0,0.09444256128645587,1,3
15.8,-0.0,0.49979939420385183,-0.0,0.06973583826226139,1,3
16.0,-0.0,0.23133288842040878,-0.0,0.03227733582455603,1,5
16.2,-0.0,1.1296935945410067,-0.0,0.15762349996505298,1,5
16.4,-0.0,0.9292671317531818,-0.0,0.1296584652840622,1,4
16.6,-0.0,0.18294652586194626,-0.0,0.025526100043546197,1,3
16.8,-0.0,0.018097237858072095,-0.0,0.0025250651899538924,1,2
17.0,-0.0,-0.0,-0.0,-0.0,1,1
17.2,-0.0,-0.0,-0.0,-0.0,1,1
17.400000000000002,-0.0,-0.0,-0.0,-0.0,1,1
17.6,-0.0,-0.0,-0.0,-0.0,1,1
