lag_step,lag_time,weak_chaos_mi_normalized_excess_mean,weak_chaos_mi_normalized_excess_std,weak_chaos_mi_excess_mean,weak_chaos_mi_excess_std,weak_chaos_te_forward_mean,weak_chaos_te_forward_std,weak_chaos_te_backward_mean,weak_chaos_te_backward_std,weak_chaos_te_net_mean,weak_chaos_te_net_std,strong_chaos_mi_normalized_excess_mean,strong_chaos_mi_normalized_excess_std,strong_chaos_mi_excess_mean,strong_chaos_mi_excess_std,strong_chaos_te_forward_mean,strong_chaos_te_forward_std,strong_chaos_te_backward_mean,strong_chaos_te_backward_std,strong_chaos_te_net_mean,strong_chaos_te_net_std
450,4.5,0.6040417507313485,0.13605622189784777,0.4720619746359492,0.3081390130085901,0.007283281030408967,0.006098527765845087,0.007761288300637391,0.006644392274490869,-0.0004780072702284227,0.0011306938793501395,0.594183716438537,0.1226512465999684,0.09371911850711204,0.016867233572044078,0.0,0.0,2.7446923821186285e-05,5.489384764237256e-05,-2.7446923821186285e-05,5.489384764237256e-05
460,4.6000000000000005,0.6606991095238591,0.21513005607476882,0.5432995912835957,0.4023127233993807,0.00798190382279824,0.006928611775571569,0.007664597882608312,0.0085613214418988,0.000317305940189927,0.0024614004824391896,0.5642672144931854,0.1198425851235793,0.08893768531717886,0.016784279009626327,0.00014422412695767225,0.0002884482539153445,0.00044873645786725445,0.0003799521051482666,-0.00030451233090958223,0.0005974974854619695
470,4.7,0.6612629923503969,0.20904678278294528,0.5485852614689811,0.42187892319054127,0.003798754534429176,0.0035977844703284486,0.0038446868228108402,0.002550097860780787,-4.593228838166361e-05,0.0029542569162501774,0.5651765016729772,0.10446992404019499,0.08922012197193727,0.014530810501973473,0.0,0.0,4.470617970468958e-05,8.941235940937916e-05,-4.470617970468958e-05,8.941235940937916e-05
480,4.8,0.5990248235132859,0.11757428942333324,0.47148580775327786,0.31751490591084247,0.003174244429863708,0.0028387744660165683,0.0027260165549081493,0.0019302756678673315,0.0004482278749555592,0.00220114649364655,0.5766485390084654,0.10342917987830898,0.09092200920337626,0.013248236902852848,0.00018059897940081587,0.0003497338859508382,0.0006141947103945972,0.0007580116467207672,-0.0004335957309937813,0.0009579097387875093
490,4.9,0.5445121159322953,0.06139712221159189,0.411741854323472,0.2490019486757035,0.003226632350745125,0.0020454238205899777,0.003200834315739987,0.0023234284642852715,2.5798035005137297e-05,0.001445439877376311,0.5553859947028441,0.11650494131370077,0.08739451225810349,0.014946350966412532,6.60071329080001e-05,0.0001320142658160002,0.00037939539657111593,0.0007587907931422319,-0.00031338826366311586,0.0008020454094804489
500,5.0,0.5008813306327693,0.06907521748621868,0.3681233245714269,0.2180530741147557,0.004643970927335829,0.0037233364464884498,0.005318537429379564,0.004284061506234515,-0.0006745665020437362,0.0013143167879410022,0.5710017815401677,0.10513662963012475,0.09005400666166255,0.014730700290319582,0.0,0.0,0.00029827295887229486,0.0004040162675660829,-0.00029827295887229486,0.0004040162675660829
510,5.1000000000000005,0.4671059383434356,0.0608970278882583,0.3343208507434353,0.17721090512562673,0.006238927294522102,0.004696084823298798,0.006568803133114679,0.005197886299863119,-0.0003298758385925759,0.002372151731527337,0.5905068742198358,0.09502673282445605,0.09338701296251715,0.013854514878509304,0.00022268991553303676,0.0004453798310660735,0.00013891360291105187,0.00027782720582210374,8.377631262198489e-05,0.0005808790469733486
520,5.2,0.44236154305797193,0.07186454722341142,0.3175059767387688,0.1688074147942719,0.007616253732692235,0.0053656455452816285,0.006247619793843859,0.005782887785161168,0.0013686339388483775,0.0017687415617314288,0.6035900428242558,0.11598379684857182,0.09545968821225934,0.017276233690169368,0.0,0.0,0.00014618334647928006,0.00022033129091267073,-0.00014618334647928006,0.00022033129091267073
530,5.3,0.43115865118486124,0.08788544035903219,0.3130286335297985,0.17543399815712468,0.00845958507973914,0.00589368466195753,0.006965303365964333,0.0057978897569407085,0.0014942817137748063,0.0023456842546528017,0.6006582268597933,0.10664459007123082,0.09459990512096945,0.013601833311601915,0.00026869908172844276,0.0003550527135575051,0.0003354099201208306,0.0006708198402416612,-6.671083839238784e-05,0.0003655896266012195
540,5.4,0.42966080326186,0.11335425802496424,0.3089205672614395,0.17239976485467914,0.00786037706399658,0.005293907956310011,0.007022617242567539,0.005584896947076392,0.0008377598214290401,0.0016392465055928007,0.5792186164144973,0.10059964825045611,0.09157292448534107,0.01458989049040893,0.00023342336139427905,0.0004231238027545893,0.00017338658515216043,0.00034677317030432087,6.003677624211862e-05,0.0005906787264519766
550,5.5,0.4276055434684384,0.11192587799054969,0.31388542178900075,0.18756015320160943,0.008432938157192574,0.005713387897802107,0.007717024800269154,0.005696098191806098,0.0007159133569234203,0.0017145860941366663,0.5829291838140608,0.09199699134065996,0.09183453907280419,0.010626099111844789,0.0001613386701033878,0.0003226773402067756,0.00028785515462184387,0.0004167089421666858,-0.00012651648451845603,0.0006088114190969025
560,5.6000000000000005,0.4032584369075251,0.10047324784180926,0.29909090872958444,0.18357984752907622,0.00861787002844892,0.005776371129968086,0.007850392602082595,0.005601742912825584,0.0007674774263663239,0.0020565110699796753,0.5641768515533686,0.1015246613645452,0.08881068203172046,0.012323499300615128,3.5809776634813936e-05,7.161955326962787e-05,5.4981980659368076e-05,0.00010996396131873615,-1.9172204024554133e-05,0.0001454620847236586
570,5.7,0.39258076943171616,0.09037196904265121,0.2951540977717211,0.1871114663209087,0.009960855241752992,0.006580826551133773,0.00875939798891782,0.006403903162415343,0.0012014572528351718,0.0023955728799937306,0.5592603372219854,0.08361513142738895,0.08831923022853926,0.010957758576141221,0.00033084614548610535,0.0004449223276898875,3.898686744688469e-05,7.797373489376938e-05,0.00029185927803922066,0.00047940910572185686
580,5.8,0.41357703753355457,0.08779745631554663,0.31215381867174163,0.19764868656349213,0.012195226334137834,0.009164886319819914,0.010876989602193948,0.008876210821094284,0.0013182367319438844,0.0017543066255712668,0.5637966897958777,0.07553729646537179,0.08904599650569017,0.009185945908694688,0.00011991860469358836,0.00023401598766956895,0.0002533250971884442,0.0005066501943768884,-0.0001334064924948558,0.0006100939979417225
590,5.9,0.4734443544048692,0.09636519693617034,0.3680209305310481,0.24205104411002523,0.008762717510900584,0.006008912941703925,0.007745781194630002,0.00680777113482896,0.0010169363162705813,0.0017480569322746878,0.5702480898244615,0.09860123587919811,0.08996803719277087,0.013116778907303546,0.0001172583388698082,0.0002345166777396164,0.0,0.0,0.0001172583388698082,0.0002345166777396164
600,6.0,0.5358394552791091,0.12361111153794407,0.4232046891820887,0.28325433202073014,0.008630720984193655,0.004988179859948483,0.00837119427675571,0.005182391847305248,0.000259526707437947,0.0009689540904326216,0.577682971800452,0.1200152562425518,0.09079093197469032,0.015658606335419566,0.0003703117150531402,0.0007406234301062803,5.179298611534926e-05,0.00010358597223069851,0.00031851872893779094,0.0007730538260028007
610,6.1000000000000005,0.6141904564197588,0.18422163568675334,0.4969798189376779,0.35258677392944593,0.008258066314428335,0.006025764071580831,0.008903429325182625,0.00687887398507411,-0.0006453630107542887,0.0011572433395040495,0.5782985473585315,0.10600723690625428,0.09081736388298808,0.011968371359717027,0.00012157180468429334,0.00017237712652720463,0.0003484965704760951,0.0004455029935451571,-0.00022692476579180173,0.0005179912537919797
620,6.2,0.6949432038431083,0.2596848647379523,0.5817057280362474,0.4546618831738665,0.007338759009330349,0.00818649150675416,0.008493829727293586,0.009928497283373918,-0.0011550707179632388,0.002038907584026089,0.5916432943549907,0.12118276288533598,0.09282855417151639,0.014699595812953365,0.0001686318660982674,0.0003372637321965348,0.0,0.0,0.0001686318660982674,0.0003372637321965348
630,6.3,0.6500096033300629,0.18660609909782033,0.5205285718245242,0.36655959107512953,0.00201764080286321,0.00167138953581664,0.00299143322242021,0.0021134847698785503,-0.0009737924195569993,0.0015887730261989102,0.5981976630041,0.12163319732115398,0.09397509199572555,0.014638657082012708,0.0,0.0,0.000271722137185822,0.0005434442743716441,-0.000271722137185822,0.0005434442743716441
640,6.4,0.582690770619313,0.12676368369042862,0.4507603309232785,0.29177680243520654,0.002652944981830963,0.0023878920890251423,0.0029688957886690936,0.0022409285195481837,-0.00031595080683813066,0.0013810563065811757,0.5702508974707243,0.13107601328156218,0.0895668602654122,0.01739758333999791,0.00026440777241612393,0.00032387662137067666,0.0,0.0,0.00026440777241612393,0.00032387662137067666
650,6.5,0.528547583499248,0.07427182675033289,0.395174891359213,0.23913210504559224,0.003715112665105602,0.0032738479344407074,0.003442709401354026,0.0036624011558709976,0.00027240326375157673,0.0012177462018357747,0.5947121596478819,0.11437583064252341,0.09368661305974849,0.014975644653250372,0.0001521189048476923,0.0003042378096953846,2.513998666087841e-06,5.027997332175682e-06,0.00014960490618160446,0.0003055335972575931
