time,weak_chaos_entropy,strong_chaos_entropy,weak_chaos_normalized_entropy,strong_chaos_normalized_entropy,weak_chaos_occupied_cells,strong_chaos_occupied_cells
11.0,1.0900320216604051,3.8542562220447216,0.13104864933830315,0.4633763614882793,3,94
11.200000000000001,1.0570344166675967,3.876317655683588,0.12708152591460833,0.46602868823042043,3,98
11.4,0.4015787590067974,3.8918686053863456,0.04827964034545423,0.4678982947318606,4,100
11.6,0.8558653895407883,3.855330426375265,0.10289606276324968,0.463505507259994,4,101
11.8,0.918170144042231,3.9270617936214776,0.11038662612516933,0.47212938124351866,5,109
12.0,0.7450379738214385,3.8519152331929036,0.0895718825088459,0.4630949170710048,4,102
12.200000000000001,0.7272687481984996,3.9222201202564726,0.08743558470162498,0.4715472930640773,5,108
12.4,1.0563829603340071,3.940101088818592,0.1270032048461229,0.47369702511998235,3,105
12.6,0.6865988161346167,3.9507307442857766,0.0825460589264704,0.4749749710557212,4,109
12.8,0.933228014153666,3.9987394272379486,0.11219695233651245,0.48074679512361357,3,106
13.0,0.4043856661706739,3.996905186072673,0.04861709959925093,0.48052627423753547,4,107
13.200000000000001,0.9732366129459112,3.9968684040856024,0.11700696959238649,0.48052185213834037,5,110
13.4,0.730134943797953,4.043674310903472,0.0877801718830874,0.48614907294254467,5,114
13.6,0.7211587870785399,4.017394065619823,0.08670101715097578,0.48298954131387245,6,113
13.8,0.8811157438714448,4.027817873422329,0.1059317761777103,0.48424273929919376,5,110
14.0,1.030249726707666,4.062496384926831,0.12386134763319664,0.4884119490136068,4,113
14.200000000000001,0.9950124330141107,4.075680582577221,0.11962495856102663,0.48999701372763327,3,116
14.4,1.073735187053463,4.11085616142224,0.12908936913250124,0.4942259831576422,3,123
14.6,0.707792303659094,4.0904866184696065,0.08509403720569586,0.49177706327406395,5,115
14.8,1.348078116954517,4.105888760338301,0.16207213450510116,0.4936287794151501,6,119
15.0,1.1961785200167259,4.090298918001027,0.1438100682371692,0.4917544970627979,6,123
15.200000000000001,1.0126578720268375,4.115668061916654,0.12174637417419076,0.49480449190602077,5,119
15.4,1.1544287558712072,4.097013900156737,0.13879072009625054,0.4925618030174397,5,119
15.6,1.0384312216591043,4.12455307539695,0.12484496448265482,0.49587268897987524,4,126
15.8,0.7981173942040796,4.135865139742838,0.0959533338887873,0.49723267724104436,3,126
16.0,0.6726311834456268,4.209559904460755,0.08086680605869004,0.5060925998742125,3,132
16.2,1.2096352984101943,4.145966939230646,0.14542790385838575,0.4984471619098039,5,132
16.4,1.1600896897163904,4.2209372716500315,0.1394713035283544,0.5074604391427411,5,137
16.6,0.8972518137077282,4.222180330145425,0.10787172850539731,0.5076098853366442,7,137
16.8,1.0852999650084816,4.1968644520745055,0.13047973978289185,0.5045662943575888,5,127
17.0,0.7874978547564137,4.162051089230405,0.0946766041473146,0.5003808721966012,5,127
17.2,1.0478764168760832,4.175891850278657,0.12598050917430179,0.5020448719738048,6,129
17.400000000000002,1.1533400322349183,4.197448864733554,0.13865982874700283,0.504636555128009,4,132
17.6,1.0384270285333579,4.239364157845143,0.1248444603658448,0.5096758039204671,3,142
17.8,0.9376657645309909,4.249618202310419,0.11273047904168493,0.5109085921787261,4,140
18.0,1.3408171101594295,4.276700159280903,0.16119918296384,0.5141645092636333,6,143
18.2,1.0653223506804184,4.275960458906613,0.1280779393562344,0.5140755790918222,6,141
18.400000000000002,1.3498450123441699,4.279573085861856,0.1622845587731363,0.5145099056745649,5,146
18.6,1.108442935469979,4.307940509060749,0.13326209384257867,0.5179203674055517,5,146
18.8,1.1830716961564074,4.246665357058574,0.14223430575507864,0.5105535875786137,5,137
19.0,0.9876776580180169,4.2723491852945,0.11874313826828488,0.5136414152141983,4,147
19.2,0.9645911912292514,4.2689408025477,0.11596757733930158,0.5132316438070099,4,145
19.400000000000002,0.9283554040812205,4.326567682548525,0.1116111448042039,0.5201598116402677,5,152
19.6,1.2667982223662329,4.312003086851434,0.15230029276789323,0.5184087891415389,6,145
19.8,1.3416476153039254,4.323800732535231,0.16129903010162308,0.5198271562183872,7,149
20.0,0.9152032420140777,4.391373255680298,0.11002993155493432,0.5279510348885323,5,160
20.2,0.8209788284518842,4.39069816789609,0.09870184037353037,0.5278698727386623,5,155
